timestamp	harness_version	backend	model	suite	task_id	success	seconds	tokens	cost_usd	turns	notes
2026-08-01T02:51:13+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_01	1	21.9	1691	0.0771	3	
2026-08-01T02:51:44+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_01	1	23.3	1893	0.0472	3	
2026-08-01T02:52:23+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_02	1	39.7	3004	0.0792	10	
2026-08-01T02:52:53+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_03	1	29.4	2403	0.0673	9	
2026-08-01T02:53:23+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_01	1	21.5	1436	0.0476	4	
2026-08-01T02:53:46+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_02	1	23.1	1910	0.0548	5	
2026-08-01T02:54:21+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_03	1	34.3	2514	0.0747	9	
2026-08-01T02:54:42+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_01	1	21.7	1630	0.0455	3	
2026-08-01T02:55:06+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_02	1	23.9	1810	0.0535	5	
2026-08-01T02:55:37+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_03	1	30.5	2450	0.0773	10	
2026-08-01T02:55:53+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_01	1	16.1	1508	0.0445	3	
2026-08-01T02:56:18+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_02	1	25.2	2129	0.0517	4	
2026-08-01T02:56:48+00:00	v0	cli	claude-haiku-4-5-20251001	fixed	task_03	1	29.9	2329	0.0667	9	
2026-08-01T15:56:50+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_01	1	25.1	2033	0.0843	4	
2026-08-01T15:57:20+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_02	1	30.0	0	0.0000	0	cli_exit_1:
2026-08-01T15:57:52+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_03	1	32.0	2484	0.0679	9	
2026-08-01T15:58:14+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_01	1	21.5	2030	0.0515	4	
2026-08-01T15:58:33+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_02	1	19.7	1756	0.0529	5	
2026-08-01T15:58:58+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_03	1	24.7	0	0.0000	0	cli_exit_1:
2026-08-01T15:59:23+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_01	1	24.6	1308	0.0465	4	
2026-08-01T15:59:50+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_02	1	27.0	1544	0.0516	5	
2026-08-01T16:00:24+00:00	v0.1	cli	claude-haiku-4-5-20251001	fixed	task_03	1	34.2	2827	0.0702	9	
2026-08-01T16:22:01+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	12.8	990	0.0318	2	
2026-08-01T16:22:23+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	21.6	1687	0.0493	4	
2026-08-01T16:22:55+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	31.8	2218	0.0669	7	
2026-08-01T16:23:08+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	13.1	1066	0.0323	2	
2026-08-01T16:23:26+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	17.8	1349	0.0432	3	
2026-08-01T16:24:06+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	39.6	3584	0.0714	8	
2026-08-01T16:24:25+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	19.4	1873	0.0379	2	
2026-08-01T16:24:48+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	22.6	1459	0.0476	4	
2026-08-01T16:25:20+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	32.6	2335	0.0672	7	
2026-08-01T16:25:56+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	12.5	945	0.0316	2	
2026-08-01T16:26:15+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	19.8	1475	0.0514	6	
2026-08-01T16:26:50+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	34.0	2739	0.0653	8	
2026-08-01T16:27:02+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	11.9	973	0.0317	2	
2026-08-01T16:27:25+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	23.6	2061	0.0516	4	
2026-08-01T16:27:56+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	30.5	2417	0.0629	8	
2026-08-01T16:28:12+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_01	1	15.7	1322	0.0335	2	
2026-08-01T16:28:43+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_02	1	31.2	2603	0.0591	5	
2026-08-01T16:29:10+00:00	v0.2	cli	claude-haiku-4-5-20251001	fixed	task_03	1	27.2	2148	0.0611	8	
